checkin_id,victim_id,timestamp,channel,language,raw_text,simulated_tier,missed_checkin,response_latency_sec
CHK-0001-00,VIC-0001,2026-07-04 00:46:25,ivrs,en,"Spoke to our lawyer, feeling okay about the process.",Low,0,19
CHK-0001-01,VIC-0001,2026-07-10 00:46:25,chat,en,Family is safe and doing well this week.,Low,1,7
CHK-0001-02,VIC-0001,2026-07-16 00:46:25,sms,en,"Things are calm today, I attended work without issues.",Low,0,10
CHK-0001-03,VIC-0001,2026-07-22 00:46:25,web,en,"Trouble sleeping due to village tension, but managing.",Moderate,1,8
CHK-0001-04,VIC-0001,2026-07-28 00:46:25,web,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,21
CHK-0001-05,VIC-0001,2026-08-03 00:46:25,web,en,Feeling anxious about the court hearing next month.,Moderate,1,8
CHK-0001-06,VIC-0001,2026-08-09 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,23
CHK-0001-07,VIC-0001,2026-08-15 00:46:25,sms,en,Received indirect threats in the market to withdraw the FIR.,High,0,60
CHK-0001-08,VIC-0001,2026-08-21 00:46:25,sms,en,Received indirect threats in the market to withdraw the FIR.,High,0,35
CHK-0002-00,VIC-0002,2026-07-04 00:46:25,chat,hi,आस-पड़ोस के लोग हमसे बात करने से बच रहे हैं।,Moderate,0,25
CHK-0002-01,VIC-0002,2026-07-10 00:46:25,web,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,22
CHK-0002-02,VIC-0002,2026-07-16 00:46:25,sms,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,11
CHK-0002-03,VIC-0002,2026-07-22 00:46:25,ivrs,hi,"आज सब शांत है, कोई परेशानी नहीं हुई।",Low,0,22
CHK-0002-04,VIC-0002,2026-07-28 00:46:25,chat,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,8
CHK-0002-05,VIC-0002,2026-08-03 00:46:25,web,hi,अगले महीने की पेशी को लेकर थोड़ी चिंता हो रही है।,Moderate,0,9
CHK-0002-06,VIC-0002,2026-08-09 00:46:25,web,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,6
CHK-0002-07,VIC-0002,2026-08-15 00:46:25,ivrs,hi,परिवार सुरक्षित है और दिन सामान्य रहा।,Low,0,20
CHK-0002-08,VIC-0002,2026-08-21 00:46:25,web,hi,गाँव के माहौल की वजह से नींद नहीं आ रही है।,Moderate,0,10
CHK-0003-00,VIC-0003,2026-07-04 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,16
CHK-0003-01,VIC-0003,2026-07-10 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,8
CHK-0003-02,VIC-0003,2026-07-16 00:46:25,ivrs,en,Feeling anxious about the court hearing next month.,Moderate,0,9
CHK-0003-03,VIC-0003,2026-07-22 00:46:25,chat,en,"Trouble sleeping due to village tension, but managing.",Moderate,0,19
CHK-0003-04,VIC-0003,2026-07-28 00:46:25,sms,en,People in the neighborhood are avoiding talking to us.,Moderate,0,10
CHK-0003-05,VIC-0003,2026-08-03 00:46:25,sms,en,Feeling anxious about the court hearing next month.,Moderate,1,24
CHK-0003-06,VIC-0003,2026-08-09 00:46:25,ivrs,en,People in the neighborhood are avoiding talking to us.,Moderate,0,10
